drug	MaxAbsEStateIndex	MaxEStateIndex	MinAbsEStateIndex	MinEStateIndex	qed	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	MaxPartialCharge	MinPartialCharge	MaxAbsPartialCharge	MinAbsPartialCharge	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	BCUT2D_MWHI	BCUT2D_MWLOW	BCUT2D_CHGHI	BCUT2D_CHGLO	BCUT2D_LOGPHI	BCUT2D_LOGPLOW	BCUT2D_MRHI	BCUT2D_MRLOW	AvgIpc	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	HallKierAlpha	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	TPSA	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	FractionCSP3	HeavyAtomCount	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	RingCount	MolLogP	MolMR	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_C_O	fr_C_O_noCOO	fr_HOCCN	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_aniline	fr_aryl_methyl	fr_benzene	fr_bicyclic	fr_ester	fr_ether	fr_furan	fr_halogen	fr_imidazole	fr_ketone	fr_ketone_Topliss	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitroso	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_piperdine	fr_piperzine	fr_priamide	fr_pyridine	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_thiazole	fr_thiophene	fr_unbrch_alkane	fr_urea
Vinblastine	15.321994065804107	15.321994065804107	0.0986226963767826	-2.301098412712735	0.179801053533736	752.5249999999999	810.420379436	316.0	0.3436112263225902	-0.4963433590476223	0.4963433590476223	0.3436112263225902	0.9491525423728814	1.7118644067796611	2.406779661016949	16.5770014090727	9.47334242413129	2.801494259647496	-2.630553941081053	2.6800908904599576	-2.8098622638808406	5.946152907004564	-0.228129868906983	3.895243450415872	1.3637618830141265	2257.0913930587544	41.86286759389039	35.30018383407435	35.30018383407435	28.220714523448365	21.213077288186387	21.213077288186387	18.20394764135368	18.20394764135368	15.598755531983985	15.598755531983985	13.506090863494189	13.506090863494189	-4.43	16547476727054.902	40.00045547656914	13.801606719760814	5.196998741043846	345.13959571880326	39.0443948566793	11.164502302680685	6.103966387748303	5.601050810983688	0.0	17.90791586385555	19.3888938298446	4.794537184071822	0.0	0.0	44.19861581843384	74.24722930994723	90.93631433573132	32.97228426396425	43.544118157097074	34.49822707062016	0.0	14.783797982648164	11.332896515558172	99.51587194343308	66.00075636692314	70.93452509437687	5.749511833283905	9.636772684650529	5.687386274683562	5.749511833283905	0.0	133.39536494026942	45.84500297533518	11.332896515558172	75.25960218364138	48.55024262443742	0.0	10.902924932081056	154.10000000000002	57.50079611090952	19.802129157825053	4.794537184071822	11.959746875309351	82.56167509209985	33.41114218500707	21.14333228224569	7.109797541277533	50.06052438675535	39.068572333239146	18.9474518152002	23.936517771858263	0.0	53.16144392035004	26.330912398105045	-1.6246730221447003	-1.5628213619726945	10.952784243529363	5.944736805409448	8.6246074393296	6.153158472202293	0.5869565217391305	59.0	3.0	13.0	1.0	5.0	6.0	2.0	1.0	3.0	12.0	3.0	13.0	7.0	1.0	2.0	3.0	9.0	3.990900000000003	220.4282999999993	2.0	0.0	0.0	1.0	1.0	0.0	3.0	3.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	6.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytarabine	11.510870653817085	11.510870653817085	0.0536975886033428	-1.309931027966743	0.4489304892314893	230.11499999999995	243.085520516	94.0	0.3512126938330889	-0.3935668538876593	0.3935668538876593	0.3512126938330889	1.4705882352941178	2.176470588235294	2.7058823529411766	16.562986528413802	10.128301814895789	2.4318343369646738	-2.16223682336887	2.27365598894824	-2.355745031918356	5.232082740016903	-0.0548976402852064	2.565406713603092	2.3196952658217853	462.1897021796713	12.57698579026012	8.801123223941445	8.801123223941445	8.040912557858759	5.014304277265206	5.014304277265206	3.7711079251974	3.7711079251974	2.642834143988184	2.642834143988184	1.7293735696353043	1.7293735696353043	-1.48	7816.79425634862	11.98960467611348	4.414475063137193	2.025663273733915	95.89720926959052	25.79011261548436	24.12976194107993	6.22790117073487	0.0	0.0	5.689743398203474	4.567099647791355	4.794537184071822	4.9839785209472085	0.0	0.0	6.06636706846161	6.196843571613076	6.606881964512918	20.056445138322168	5.817862777835028	0.0	9.551078168738565	0.0	24.539800333979777	12.340549441675105	22.74749122234998	0.0	11.423410875365658	5.817862777835028	0.0	0.0	49.7894414810185	4.736862953800049	0.0	6.22790117073487	17.057747824146507	0.0	0.0	130.82999999999998	36.83642569669617	15.007591973753232	0.0	5.817862777835028	0.0	4.567099647791355	12.263210640074686	0.0	0.0	4.9839785209472085	15.57705782580294	6.187805177626607	0.0	14.98930933484505	28.15370186654909	4.629863315696649	0.0536975886033428	1.3711640211640213	-3.2663728269085426	-0.4525018109095486	0.0	0.5555555555555556	17.0	5.0	8.0	0.0	1.0	1.0	0.0	1.0	1.0	8.0	4.0	8.0	2.0	0.0	1.0	1.0	2.0	-2.563	55.91880000000002	3.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Docetaxel___1007	14.94548196995826	14.94548196995826	0.0637190486081173	-2.353438114156233	0.1468094861389331	754.4659999999999	807.3466053760001	314.0	0.407747107221565	-0.4557376731538227	0.4557376731538227	0.407747107221565	0.9482758620689656	1.5517241379310345	2.103448275862069	16.637249605455956	9.444002592441583	2.7763671761423176	-2.669749125475407	2.637919258455339	-2.8142152568366097	5.938738292123983	-0.3455181457493428	3.144412387322181	1.4857057667213098	1976.328970776984	42.74998341876801	33.884962475611374	33.884962475611374	26.990414843854843	19.33466298515773	19.33466298515773	17.573846614463754	17.573846614463754	12.56716788569392	12.56716788569392	9.559609692764472	9.559609692764472	-4.67	1464011835189.8	42.92290432672173	15.171694085358682	7.099650361474251	336.1909090656998	49.4272129523694	35.61796717296058	17.488262145096932	0.0	0.0	24.001155934793964	9.589074368143644	14.383611552215466	0.0	0.0	62.37841094707413	63.46108068721186	25.180370914939424	35.64903718866435	68.08311026872217	29.784400881158906	0.0	5.316788604006331	16.747886984954953	127.70033243196583	6.606881964512918	82.93678272814864	0.0	5.316788604006331	4.794537184071822	0.0	0.0	110.24434318447554	38.06792632121571	16.747886984954953	90.19482183999078	71.80987974475464	0.0	0.0	224.45	112.42190107762872	44.39879549972193	0.0	29.73736413927445	5.563451491696996	6.923737199690624	25.980208536304467	83.14962254614599	0.0	5.316788604006331	23.684314769000245	29.507859364191926	0.0	68.90980717341509	51.56241389387875	-8.13552639593535	-5.363479982528286	14.62746069590883	-11.482330648139213	11.790462565874922	0.0	0.5581395348837209	58.0	5.0	15.0	3.0	1.0	4.0	2.0	0.0	2.0	14.0	5.0	15.0	8.0	2.0	1.0	3.0	6.0	3.2596000000000025	203.6043999999994	4.0	3.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	5.0	3.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Docetaxel___1819	14.94548196995826	14.94548196995826	0.0637190486081173	-2.353438114156233	0.1468094861389331	754.4659999999999	807.3466053760001	314.0	0.407747107221565	-0.4557376731538227	0.4557376731538227	0.407747107221565	0.9482758620689656	1.5517241379310345	2.103448275862069	16.637249605455956	9.444002592441583	2.7763671761423176	-2.669749125475407	2.637919258455339	-2.8142152568366097	5.938738292123983	-0.3455181457493428	3.144412387322181	1.4857057667213098	1976.328970776984	42.74998341876801	33.884962475611374	33.884962475611374	26.990414843854843	19.33466298515773	19.33466298515773	17.573846614463754	17.573846614463754	12.56716788569392	12.56716788569392	9.559609692764472	9.559609692764472	-4.67	1464011835189.8	42.92290432672173	15.171694085358682	7.099650361474251	336.1909090656998	49.4272129523694	35.61796717296058	17.488262145096932	0.0	0.0	24.001155934793964	9.589074368143644	14.383611552215466	0.0	0.0	62.37841094707413	63.46108068721186	25.180370914939424	35.64903718866435	68.08311026872217	29.784400881158906	0.0	5.316788604006331	16.747886984954953	127.70033243196583	6.606881964512918	82.93678272814864	0.0	5.316788604006331	4.794537184071822	0.0	0.0	110.24434318447554	38.06792632121571	16.747886984954953	90.19482183999078	71.80987974475464	0.0	0.0	224.45	112.42190107762872	44.39879549972193	0.0	29.73736413927445	5.563451491696996	6.923737199690624	25.980208536304467	83.14962254614599	0.0	5.316788604006331	23.684314769000245	29.507859364191926	0.0	68.90980717341509	51.56241389387875	-8.13552639593535	-5.363479982528286	14.62746069590883	-11.482330648139213	11.790462565874922	0.0	0.5581395348837209	58.0	5.0	15.0	3.0	1.0	4.0	2.0	0.0	2.0	14.0	5.0	15.0	8.0	2.0	1.0	3.0	6.0	3.2596000000000025	203.6043999999994	4.0	3.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	5.0	3.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gefitinib	13.468244022471676	13.468244022471676	0.0364085711831807	-0.4747555099301797	0.517854527865434	422.71800000000025	446.152096528	164.0	0.1624329849026206	-0.4927859630535338	0.4927859630535338	0.1624329849026206	1.1612903225806452	2.0	2.774193548387097	35.49569229483889	10.166031380125917	2.135332605023696	-2.25949500298889	2.3476415791463525	-2.367887997989929	6.305763331636628	0.0357326928413081	2.794230401534003	1.5078739571774324	1046.6849035998564	21.63118126525103	17.236163687353507	17.99209263337196	15.135361590784806	10.115515540858024	10.49348001386725	7.15240839557078	7.559608522311387	5.083026254841418	5.372672716505981	3.4416255033402745	3.6221681335690152	-2.68	13732178.246809222	21.54820667146205	10.08499225416898	5.330841061237727	184.64229675297287	19.52737746540648	17.962403693645463	11.49902366656781	0.0	0.0	0.0	4.899909730850478	14.358372089569237	0.0	0.0	11.600939890232516	30.68628989677245	36.77424677534769	37.46977746617387	18.60100390907497	34.00911387483217	0.0	14.867866772744897	0.0	6.4208216229260096	51.881501256560334	47.49900957185981	11.49902366656781	14.790514511606428	15.89566410019341	11.49902366656781	11.600939890232516	61.4325794252989	4.736862953800049	5.817220841045895	6.4208216229260096	36.65915541707259	5.022633313741326	10.902924932081056	68.74000000000001	5.817220841045895	4.39041504767482	0.0	5.022633313741326	35.12785540121558	44.655078984154365	18.46005421168776	13.176164609739144	12.13273413692322	20.184655376751227	25.811528751632665	30.373687188141982	5.895463515763117	11.035060718058636	3.9656523368373766	1.3179841601243467	1.3111794738693126	8.089993046623432	2.350959873566399	5.004639048839564	1.5998250826202731	0.3636363636363636	31.0	1.0	7.0	0.0	1.0	1.0	2.0	1.0	3.0	7.0	1.0	9.0	8.0	0.0	1.0	1.0	4.0	4.275600000000003	118.15370000000004	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Vorinostat	11.591414631828142	11.591414631828142	0.0132418955236419	-0.3594253181225928	0.3832200999836573	244.165	264.1473925	104.0	0.2428286181492087	-0.3260984792165692	0.3260984792165692	0.2428286181492087	0.8947368421052632	1.4736842105263157	2.0526315789473686	16.46691269105351	10.105130650193692	2.022074429228834	-2.043710302414028	2.085994894652923	-2.172450428643368	5.900457626583416	-0.1288871784057272	2.43021074012854	2.032661268153765	392.9373671049543	13.924438962994	10.8931022094951	10.8931022094951	9.21954535281284	6.499645471923348	6.499645471923348	4.363395035452541	4.363395035452541	2.7399240433905256	2.7399240433905256	1.7255431762256637	1.7255431762256637	-1.88	18362.67235241125	15.178411214953275	9.103589516578465	7.205209337695133	112.52198085364748	5.316788604006331	0.0	0.0	11.814359458703011	0.0	0.0	14.796327392920931	5.480096598121202	0.0	0.0	31.040744451236847	24.97437738277524	18.52902952053558	0.0	14.796327392920931	17.501745733386574	0.0	5.480096598121202	0.0	38.524929737556064	5.316788604006331	30.33183534230805	0.0	10.796885202127534	5.687386274683562	0.0	0.0	17.0216124834803	9.589074368143644	0.0	38.524929737556064	30.33183534230805	0.0	0.0	78.43	0.0	9.589074368143644	0.0	11.814359458703011	12.84164324585202	31.3706727663876	0.0	5.480096598121202	30.33183534230805	5.316788604006331	5.20725302477729	0.0	0.0	22.322116254554164	11.122017013037414	2.4104883776367503	-0.3461834225989508	9.359749944038676	4.131811833331945	0.0	0.0	0.4285714285714285	19.0	3.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	5.0	8.0	0.0	0.0	0.0	1.0	2.4711	72.70290000000003	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Nilotinib	13.609165039738006	13.609165039738006	0.0011413612493087	-4.60078225368541	0.2658598216325419	507.35000000000025	529.1837929840001	196.0	0.4160618842003391	-0.323896903899683	0.4160618842003391	0.323896903899683	0.9743589743589745	1.8205128205128205	2.5384615384615383	19.41319129975728	10.08690131961328	2.313543481428159	-2.144308956991846	2.3315587546235177	-2.1431478973139133	6.048096846247589	-0.1371038554520296	3.36022418800826	1.406068511739026	1649.0608196010155	27.57033885400645	20.8611134556461	20.8611134556461	18.652018246629737	11.813083399639352	11.813083399639352	8.804654339776183	8.804654339776183	5.871916984100428	5.871916984100428	3.874101579850153	3.874101579850153	-5.0600000000000005	649397948.0826293	25.58376013065048	10.364741922338526	5.926969544026141	221.17512490877368	15.200676855804016	0.0	0.0	5.948339280986494	5.907179729351506	6.176298517443475	9.77851570501903	14.951935562841626	13.17124514302446	0.0	6.06636706846161	67.94186243877112	52.97643609389698	23.27862755615846	17.96578232709628	23.23029155970513	0.0	24.503013731580182	0.0	20.02377291682472	10.633577208012662	108.0962804473108	16.944765761229018	10.633577208012662	30.49435697337808	0.0	0.0	30.41019346093169	6.176298517443475	13.847474399381248	27.178819654011267	85.71199797737135	0.0	16.944765761229018	97.62	17.646929738491977	17.96578232709628	0.0	16.93822404106412	23.02358154536698	23.25963712031721	16.960786791017505	62.04294682845097	12.990104268152232	30.56949129180149	0.0	42.29352351773952	0.0	30.0582941832478	5.71194082014574	3.092237674134436	-0.258960985767581	13.721743835870704	3.384049415974036	3.5805048719886825	0.0	0.1071428571428571	39.0	2.0	8.0	0.0	0.0	0.0	2.0	3.0	5.0	7.0	2.0	11.0	6.0	0.0	0.0	0.0	5.0	6.355840000000005	140.98089999999985	0.0	0.0	0.0	5.0	0.0	0.0	1.0	1.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olaparib	14.563571359162989	14.563571359162989	0.0122218547912991	-0.5745164346602836	0.6830916301031819	411.2870000000002	434.1754188160001	164.0	0.2715501470616431	-0.3389086979461298	0.3389086979461298	0.2715501470616431	1.0	1.6875	2.40625	19.142197194722574	10.015030589147544	2.3507356684684395	-2.346486092923739	2.3102962356751093	-2.507075868757255	5.947487723982324	-0.1335394185214806	3.669582226862991	1.3423975184006576	1259.5791771291445	22.24191172926027	17.51289975272353	17.51289975272353	15.508040390846984	10.838355564878972	10.838355564878972	8.427744265644296	8.427744265644296	6.212894956233996	6.212894956233996	4.234604977090179	4.234604977090179	-3.5499999999999994	45182479.76302485	20.35811512793179	8.180995217053743	3.8798173352334135	183.38543926796584	9.799819461700956	5.817220841045895	0.0	5.907179729351506	11.466446624403511	0.0	14.383611552215466	9.489096855975856	5.098681808301038	0.0	24.26546827384644	36.60419594293384	43.9039775072025	16.643603701010253	13.979489415818463	22.5868078876326	0.0	19.99718307830303	5.917906046161393	19.26246486877803	26.1790256236503	75.45642537764346	0.0	5.559266895052008	4.39041504767482	0.0	0.0	57.99056816065633	11.21535880699783	11.735126887207288	34.457011408166295	47.25910666330309	0.0	10.772448428929591	86.37	5.817220841045895	18.774026599890284	0.0	28.854983891613408	43.679999455889565	23.79131895201381	6.06636706846161	34.0652877355474	12.13273413692322	10.197363616602075	0.0	14.563571359162989	0.0	40.67270116719028	7.934033779505461	1.121519460152442	-0.6189091243333349	11.648638288682855	2.25632745435374	1.7554509486188916	0.0	0.3333333333333333	32.0	1.0	7.0	1.0	1.0	2.0	2.0	1.0	3.0	4.0	1.0	8.0	4.0	1.0	1.0	2.0	5.0	2.3474000000000004	116.77720000000006	0.0	0.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Axitinib	12.075732222704954	12.075732222704954	0.0901266482653497	-0.0901266482653497	0.5241908173512972	368.33600000000007	386.1201321960001	138.0	0.2516719457749406	-0.3550767051016171	0.3550767051016171	0.2516719457749406	1.0714285714285714	1.9285714285714288	2.75	32.16658027511423	10.16552017859545	2.111946914520755	-2.075495977028572	2.3238871389959392	-2.179180348304884	7.990874601369279	0.0959957359735575	3.148758471355444	1.6025368729960088	1151.6453529302132	19.346724214874865	15.216477271392783	16.032973852320506	13.741514740667451	8.806134596712877	9.6226311776406	6.081519320272574	7.196874391922986	4.250081169716609	5.315626492913238	2.8541671142985083	3.838264954770115	-3.3799999999999994	4402971.945665744	18.00530517350135	8.102901424896904	3.818583505931169	166.4488257490915	5.316788604006331	0.0	0.0	0.0	5.907179729351506	0.0	14.877197513320068	0.0	5.098681808301038	0.0	29.960986154775945	54.61660969289903	28.421706719790613	22.46800819901018	4.794537184071822	40.72402982449144	0.0	20.498130741555613	0.0	9.79096695103555	7.04767198267719	83.8118217376231	0.0	5.316788604006331	0.0	0.0	11.761884949391115	28.13619384957797	0.0	0.0	21.74584466546574	76.65148120726474	0.0	23.054965145748817	70.67	0.0	4.794537184071822	0.0	5.907179729351506	5.563451491696996	32.08174787281353	0.0	25.00640050368138	72.81571089828387	20.498130741555613	0.0	0.0	1.5556120798360151	18.31151845627513	11.214342697794828	3.3623922422988297	-0.0901266482653497	19.511671415368923	5.661925215311343	0.0	1.6393312080469369	0.0454545454545454	28.0	2.0	5.0	0.0	0.0	0.0	2.0	2.0	4.0	4.0	2.0	6.0	5.0	0.0	0.0	0.0	4.0	4.639100000000004	113.2139	0.0	0.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afatinib	13.552448205745227	13.552448205745227	0.0043572481089819	-0.5094766232811871	0.4572933534123706	460.7470000000002	485.16299556	178.0	0.2476891980311076	-0.4856677385504834	0.4856677385504834	0.2476891980311076	1.3235294117647058	2.176470588235294	2.911764705882353	35.49569244937948	10.14362101983397	2.204671383923008	-2.174656351880662	2.346631425625437	-2.179152060222958	6.305853853742064	-0.1114889659907791	3.2985868749281737	1.6802607790026551	1214.67784504622	24.07877502244373	18.846894151362736	19.6028230973812	16.385050488558726	10.76301937448084	11.14098384749007	8.098992989897502	8.506193116638109	5.098208904847835	5.387855366512398	3.419665972850485	3.600208603079225	-3.27	52867959.29867568	23.873698027859223	10.771676263256955	5.990027316260755	201.2804170037267	25.00721284646324	29.815881914677668	0.0	5.907179729351506	0.0	0.0	4.794537184071822	14.358372089569237	0.0	0.0	17.676959997066398	38.36081223920082	36.18157569328243	29.44048423506699	18.65867813934674	45.603679878867226	0.0	14.867866772744891	0.0	12.524788010674312	44.48744150830544	59.651049785527576	5.749511833283905	15.370440161812713	21.58305037487697	5.749511833283905	11.600939890232516	60.73287719013749	9.53140013787187	5.817220841045895	6.4208216229260096	48.81119563074036	5.022633313741326	10.902924932081056	88.61000000000001	5.817220841045895	9.184952231746642	0.0	17.033779430841136	53.60359242750552	6.4208216229260096	24.53607431852164	24.27512131221871	18.99525369620486	20.60153424990708	21.074665797832616	25.10119122837464	5.912266875526566	23.204317451026554	6.673180824588723	1.654351500895594	0.1704369115899608	7.823315862372373	5.318233571185272	1.7458293286319773	3.841320890252781	0.2916666666666667	34.0	2.0	8.0	0.0	1.0	1.0	2.0	1.0	3.0	7.0	2.0	10.0	8.0	0.0	1.0	1.0	4.0	4.389900000000002	130.4064	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
